All Job Skills,Count,% All,Remote Job Skills,Count,% Remote,Non-Remote Job Skills,Count,% Non-Remote
Microsoft SQL Server,195,4.4%,Financial Services,63,5.0%,Teamwork,137,4.4%
Systems Architecture,194,4.4%,Health Insurance,63,5.0%,Information Systems,136,4.3%
Presentations,192,4.4%,Attention To Detail,63,5.0%,Presentations,136,4.3%
Systems Engineering,191,4.3%,Payments,62,5.0%,Web Services,135,4.3%
Operational Excellence,191,4.3%,Root Cause Analysis,62,5.0%,Apache Spark,135,4.3%
Asset Management,188,4.3%,Storage,61,4.9%,Golang,135,4.3%
MySQL,186,4.2%,Web Services,61,4.9%,Screening,135,4.3%
Development Testing,186,4.2%,JUnit,61,4.9%,Prototyping,134,4.3%
Relational Databases,185,4.2%,MySQL,61,4.9%,Development Testing,132,4.2%
Data Processing,185,4.2%,Natural Language Processing,60,4.8%,System Integration,132,4.2%
Health Insurance,184,4.2%,Microsoft Excel,60,4.8%,Estimating,130,4.1%
Golang,183,4.2%,Expect,60,4.8%,Relational Databases,130,4.1%
Estimating,182,4.1%,Process Improvement,59,4.7%,Test-driven Development,129,4.1%
Corporate Banking,182,4.1%,Sprint,59,4.7%,LOS,128,4.1%
Data Science,179,4.1%,Supervision,58,4.6%,Generative Artificial Intelligence (AI),128,4.1%
Prototyping,179,4.1%,Systems Analysis,58,4.6%,Apache Flex,128,4.1%
Payroll,178,4.0%,Data Modeling,58,4.6%,Onboarding,128,4.1%
Microsoft Windows,178,4.0%,Migration,57,4.6%,Credit Cards,128,4.1%
Data Modeling,178,4.0%,Integration Testing,57,4.6%,Microsoft SQL Server,127,4.0%
Screening,176,4.0%,SaaS,56,4.5%,Modeling,125,4.0%
Energy,174,4.0%,Presentations,56,4.5%,MySQL,125,4.0%
System Integration,174,4.0%,Caching,55,4.4%,Customer Experience,124,3.9%
Big Data,174,4.0%,Relational Databases,55,4.4%,Technical Support,123,3.9%
FSA,173,3.9%,TensorFlow,55,4.4%,Operational Excellence,122,3.9%
Amazon S3,172,3.9%,SEP,55,4.4%,Health Insurance,121,3.8%
Technical Writing,170,3.9%,Mobile Applications,55,4.4%,Big Data,121,3.8%
Supervision,170,3.9%,Information Technology,54,4.3%,Data Modeling,120,3.8%
Onboarding,167,3.8%,Productivity,54,4.3%,Technical Writing,118,3.8%
Load,166,3.8%,Development Testing,54,4.3%,Embedded Software,117,3.7%
Transform,166,3.8%,Backend Development,53,4.2%,OOD,116,3.7%
Extract,166,3.8%,Big Data,53,4.2%,Messaging,115,3.7%
Expect,166,3.8%,Estimating,52,4.2%,Microsoft Office,114,3.6%
Product Management,165,3.8%,Systems Architecture,52,4.2%,Authorization,114,3.6%
Mobile Applications,165,3.8%,RDBMS,52,4.2%,Supervision,112,3.6%
Unix,165,3.8%,Technical Writing,52,4.2%,Shipping,112,3.6%
Modeling,163,3.7%,Confluence,52,4.2%,Mobile Applications,110,3.5%
JUnit,163,3.7%,Knowledge Sharing,52,4.2%,Employment Authorization,110,3.5%
SaaS,163,3.7%,ROOT,52,4.2%,Technical Drafting,110,3.5%
Sprint,163,3.7%,Customer Service,51,4.1%,Data Processing,108,3.4%
Integration Testing,162,3.7%,Kotlin,51,4.1%,SaaS,107,3.4%
Elasticsearch,162,3.7%,Accountability,51,4.1%,Confluence,107,3.4%
Confluence,159,3.6%,JSON,50,4.0%,Expect,106,3.4%
GraphQL,159,3.6%,Embedded Systems,50,4.0%,Fraud,106,3.4%
Authorization,159,3.6%,Android,50,4.0%,Integration Testing,105,3.3%
Exceed,158,3.6%,Apache Maven,50,4.0%,Sprint,104,3.3%
Apache Flex,157,3.6%,KPI,49,3.9%,Internet,103,3.3%
Microsoft Excel,157,3.6%,Data Security,49,3.9%,Aerospace,103,3.3%
Business Process,156,3.5%,Articulate,48,3.8%,Video,103,3.3%
JSON,153,3.5%,Golang,48,3.8%,JSON,103,3.3%
Technical Drafting,153,3.5%,Operating Systems,48,3.8%,Data Science,102,3.2%
Promotions,152,3.5%,Product Development,48,3.8%,JUnit,102,3.2%
Technical Support,152,3.5%,IT Strategy,48,3.8%,PPO,101,3.2%
LOS,148,3.4%,Risk Management,46,3.7%,Retail,101,3.2%
J2EE,146,3.3%,Taxes,46,3.7%,Sensors,100,3.2%
Migration,145,3.3%,Redis,46,3.7%,Genetics,100,3.2%
Process Improvement,143,3.3%,Web Development,46,3.7%,Human Resources,100,3.2%
OOD,142,3.2%,Pivotal,46,3.7%,PASS,98,3.1%
Fraud,142,3.2%,Ansible,45,3.6%,Customer Relationship Management (CRM),98,3.1%
Apache Maven,142,3.2%,FAR,45,3.6%,Boost,98,3.1%
Data Security,141,3.2%,Prototyping,45,3.6%,Securities,97,3.1%
Web Development,141,3.2%,Marketing,45,3.6%,Microsoft Excel,97,3.1%
RDBMS,141,3.2%,Authorization,45,3.6%,Financial Planning,97,3.1%
Customer Service,140,3.2%,Auditing,45,3.6%,Elasticsearch,96,3.1%
WCAG,139,3.2%,Customer Facing,45,3.6%,Test Plans,96,3.1%
Shipping,137,3.1%,Use Cases,44,3.5%,High Availability,95,3.0%
High Availability,137,3.1%,Technical Drafting,43,3.4%,Product Management,95,3.0%
Internet,136,3.1%,Bridging,42,3.4%,Web Development,95,3.0%
Employment Authorization,135,3.1%,Technical Direction,42,3.4%,Design Review,94,3.0%
Aerospace,134,3.0%,High Availability,42,3.4%,Bitbucket,94,3.0%
Redis,134,3.0%,System Integration,42,3.4%,DevSecOps,93,3.0%
Android,134,3.0%,Product Requirements,42,3.4%,Physics,93,3.0%
DevSecOps,134,3.0%,Cryptography,42,3.4%,XML,93,3.0%
Kotlin,134,3.0%,Screening,41,3.3%,Apache Maven,92,2.9%
Inventory,134,3.0%,Advertising,41,3.3%,Grafana,92,2.9%
Embedded Software,133,3.0%,Data Engineering,41,3.3%,Data Security,92,2.9%
Auditing,133,3.0%,DevSecOps,41,3.3%,Manufacturing,91,2.9%
Ansible,132,3.0%,GPU,41,3.3%,Trading,91,2.9%
Credit Cards,132,3.0%,Multithreading,40,3.2%,GraphQL,90,2.9%
Securities,131,3.0%,Blockchain,40,3.2%,Splunk,90,2.9%
Data Engineering,130,3.0%,Budget,40,3.2%,RDBMS,89,2.8%
PyTorch,130,3.0%,Enterprise Software,39,3.1%,Software Security,89,2.8%
XML,130,3.0%,Middleware,39,3.1%,Customer Service,89,2.8%
Root Cause Analysis,130,3.0%,Apache Velocity,39,3.1%,Data Engineering,89,2.8%
Backend Development,130,3.0%,Customer Support,39,3.1%,Multithreading,89,2.8%
Bitbucket,130,3.0%,Stacks Blockchain,39,3.1%,Redis,88,2.8%
Microsoft Office,130,3.0%,Pharmacy,39,3.1%,LinkedIn,88,2.8%
Design Review,129,2.9%,Onboarding,39,3.1%,Auditing,88,2.8%
Multithreading,129,2.9%,IOS Development,38,3.0%,Bash,88,2.8%
Software Asset Management,127,2.9%,Modeling,38,3.0%,Migration,88,2.8%
Risk Management,127,2.9%,XML,37,3.0%,OCI,88,2.8%
Customer Relationship Management (CRM),127,2.9%,Dashboard,37,3.0%,Configuration Management,87,2.8%
Web Content,127,2.9%,Software Security,37,3.0%,Ansible,87,2.8%
Software Security,126,2.9%,Swift,36,2.9%,Immigration,87,2.8%
Assistive Technology,126,2.9%,Professional Development,36,2.9%,Firmware,87,2.8%
Budget,126,2.9%,Bitbucket,36,2.9%,Transform,86,2.7%
Electronic Commerce,126,2.9%,Fraud,36,2.9%,Load,86,2.7%
Video,125,2.8%,Usability,35,2.8%,Extract,86,2.7%
Trading,125,2.8%,Adaptability,35,2.8%,Budget,86,2.7%
Deep Learning,124,2.8%,Wealth Management,35,2.8%,Authentication,85,2.7%
PASS,123,2.8%,Virtual Team,35,2.8%,Market Analysis,85,2.7%
Physics,123,2.8%,Design Review,35,2.8%,Dynamics,84,2.7%
Test Plans,123,2.8%,Microsoft Windows,35,2.8%,Process Improvement,84,2.7%
Grafana,122,2.8%,Hibernate,34,2.7%,Functional Requirements,84,2.7%
Genetics,122,2.8%,Trading,34,2.7%,Android,84,2.7%
Configuration Management,120,2.7%,Securities,34,2.7%,Kotlin,83,2.6%
Use Cases,119,2.7%,Business Acumen,34,2.7%,Honesty,83,2.6%
Bash,119,2.7%,CaliberRM,34,2.7%,Code Review,82,2.6%
Dashboard,119,2.7%,Blueprint,34,2.7%,Dashboard,82,2.6%
PPO,118,2.7%,Authentication,33,2.6%,Training And Development,82,2.6%
Pivotal,118,2.7%,Incident Management,33,2.6%,Risk Management,81,2.6%
Authentication,118,2.7%,SOAP,33,2.6%,J2EE,81,2.6%
Technical Direction,118,2.7%,Configuration Management,33,2.6%,Incident Management,80,2.5%
Splunk,114,2.6%,Scala,33,2.6%,English,80,2.5%
IT Strategy,113,2.6%,SOA,33,2.6%,Scala,80,2.5%
Knowledge Sharing,113,2.6%,Internet,33,2.6%,Business Process,79,2.5%
Scala,113,2.6%,Supply Chain Management,32,2.6%,Shell Scripting,78,2.5%
Incident Management,113,2.6%,Energy,32,2.6%,Financing,78,2.5%
Manufacturing,112,2.5%,OAuth,32,2.6%,Rust,77,2.4%
Financial Planning,111,2.5%,Aerospace,31,2.5%,Requirements Analysis,77,2.4%
Caching,111,2.5%,Digital Media,31,2.5%,Backend Development,77,2.4%
Articulate,111,2.5%,Robotics,31,2.5%,Technical Direction,76,2.4%
GPU,111,2.5%,Bash,31,2.5%,Cross-functional Team,76,2.4%
Immigration,111,2.5%,Brand,31,2.5%,Data Management,76,2.4%
Code Review,111,2.5%,Investment Banking,31,2.5%,Specification Gathering,76,2.4%
IOS Development,110,2.5%,Intellectual Property,31,2.5%,3D Computer Graphics,75,2.4%
Sensors,110,2.5%,ServiceNow,31,2.5%,Use Cases,75,2.4%
Market Analysis,109,2.5%,Accounting,31,2.5%,AIM,75,2.4%
ROOT,109,2.5%,Reliability Engineering,31,2.5%,Adobe AIR,75,2.4%
LinkedIn,109,2.5%,DoD,31,2.5%,SOAP,74,2.4%
TensorFlow,109,2.5%,Grafana,30,2.4%,Information Architecture,74,2.4%
Boost,108,2.5%,Physics,30,2.4%,Software Testing,74,2.4%
Human Resources,108,2.5%,Systems Analysis/design,30,2.4%,IOS Development,72,2.3%
SOAP,107,2.4%,ASP.NET,30,2.4%,Vue.js,72,2.3%
Specification Gathering,105,2.4%,Servers,30,2.4%,Pivotal,72,2.3%
Adobe AIR,104,2.4%,Technical Support,29,2.3%,Salesforce.com,71,2.3%
Functional Requirements,104,2.4%,Specification Gathering,29,2.3%,Accounting,71,2.3%
Accounting,102,2.3%,Adobe AIR,29,2.3%,Distributed Computing,71,2.3%
Product Requirements,101,2.3%,Frontend Development,29,2.3%,Customer Satisfaction,71,2.3%
OCI,101,2.3%,Apache Flink,29,2.3%,Snow Flake Schema,70,2.2%
Customer Support,99,2.3%,Brokerage,29,2.3%,GPU,70,2.2%
Swift,98,2.2%,Customer Relationship Management (CRM),29,2.3%,Telecommuting,69,2.2%
SOA,98,2.2%,Information Security,29,2.3%,Promotions,69,2.2%
Cross-functional Team,98,2.2%,Apache Flex,29,2.3%,Root Cause Analysis,68,2.2%
Stacks Blockchain,98,2.2%,Apache Cassandra,29,2.3%,Media,67,2.1%
Salesforce.com,98,2.2%,Code Review,29,2.3%,HTML5,66,2.1%
Dynamics,98,2.2%,PL/SQL,29,2.3%,Apache Cassandra,66,2.1%
OAuth,97,2.2%,Production Support,28,2.2%,PyTorch,66,2.1%
Software Testing,96,2.2%,Personal Development,28,2.2%,SOA,65,2.1%
Distributed Computing,96,2.2%,Routing,28,2.2%,OAuth,65,2.1%
Requirements Analysis,96,2.2%,Policies and Procedures,28,2.2%,IT Strategy,65,2.1%
AIM,96,2.2%,Startups,28,2.2%,Systems Analysis/design,65,2.1%
Systems Analysis/design,95,2.2%,Test Cases,28,2.2%,Distribution,65,2.1%
Firmware,95,2.2%,EBS,28,2.2%,Test Cases,64,2.0%
Apache Cassandra,95,2.2%,Code Refactoring,28,2.2%,Oracle Cloud,64,2.0%
Adaptability,95,2.2%,Legacy Systems,28,2.2%,Data Storage,63,2.0%
Shell Scripting,94,2.1%,HTML5,28,2.2%,Satellite,63,2.0%
Rust,94,2.1%,Ruby,28,2.2%,Articulate,63,2.0%
HTML5,94,2.1%,Mobile Development,27,2.2%,Product Design,63,2.0%
Honesty,94,2.1%,Systems Engineering,27,2.2%,Amazon EC2,63,2.0%
Brand,93,2.1%,Facilitation,27,2.2%,Statistics,62,2.0%
Data Management,93,2.1%,Sustainability,27,2.2%,Frontend Development,62,2.0%
Vue.js,93,2.1%,Enterprise Architecture,27,2.2%,Large Language Models (LLMs),62,2.0%
Customer Satisfaction,92,2.1%,Gradle,27,2.2%,Swift,62,2.0%
Natural Language Processing,92,2.1%,IP,27,2.2%,Brand,62,2.0%
Test Cases,92,2.1%,Salesforce.com,27,2.2%,Mechanical Engineering,61,1.9%
Enterprise Software,92,2.1%,Test Plans,27,2.2%,Knowledge Sharing,61,1.9%
Reliability Engineering,91,2.1%,Large Language Models (LLMs),26,2.1%,Servers,61,1.9%
Frontend Development,91,2.1%,Business Intelligence,26,2.1%,Team Leadership,61,1.9%
Apache Velocity,91,2.1%,Critical Thinking,26,2.1%,TCP/IP,61,1.9%
Servers,91,2.1%,Pricing,26,2.1%,Customer Support,60,1.9%
Intellectual Property,91,2.1%,Soft Skills,26,2.1%,Adaptability,60,1.9%
Cryptography,90,2.0%,Mockito,26,2.1%,Reliability Engineering,60,1.9%
Training And Development,90,2.0%,OOD,26,2.1%,Intellectual Property,60,1.9%
Usability,89,2.0%,Research and Development,25,2.0%,User Stories,59,1.9%
Distribution,89,2.0%,Electrical Engineering,25,2.0%,Stacks Blockchain,59,1.9%
Blockchain,88,2.0%,Employment Authorization,25,2.0%,Organizational Skills,59,1.9%
Telecommuting,88,2.0%,Amazon DynamoDB,25,2.0%,Product Requirements,59,1.9%
Large Language Models (LLMs),88,2.0%,Shipping,25,2.0%,Visualization,57,1.8%
Media,88,2.0%,PASS,25,2.0%,ROOT,57,1.8%
Snow Flake Schema,87,2.0%,UPS,25,2.0%,Build Tools,57,1.8%
Financing,86,2.0%,Distributed Computing,25,2.0%,Microsoft Exchange,57,1.8%
Middleware,86,2.0%,Css3,25,2.0%,Caching,56,1.8%
Robotics,86,2.0%,Performance Management,25,2.0%,Sustainability,56,1.8%
Team Leadership,85,1.9%,Logistics,24,1.9%,Multitasking,56,1.8%
Statistics,85,1.9%,Offshoring,24,1.9%,Research and Development,56,1.8%
Product Design,84,1.9%,Unix,24,1.9%,IP,56,1.8%
Hibernate,83,1.9%,Market Analysis,24,1.9%,MEAN Stack,55,1.7%
ServiceNow,83,1.9%,Team Leadership,24,1.9%,Deep Learning,55,1.7%
IP,83,1.9%,IBM WebSphere MQ,24,1.9%,Ruby,55,1.7%
Ruby,83,1.9%,Splunk,24,1.9%,Robotics,55,1.7%
Sustainability,83,1.9%,Immigration,24,1.9%,Spectrum,55,1.7%
Data Storage,82,1.9%,Distribution,24,1.9%,RTOS,55,1.7%
